METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,TOTAL.TIME.S
"DEbest","ackley",2,1,80,1,7.794686,0.000000
"DEbest","ackley",2,1,100,2,7.794686,0.010000
"DEbest","ackley",2,1,120,3,6.599021,0.010000
"DEbest","ackley",2,1,140,4,5.498550,0.010000
"DEbest","ackley",2,1,160,5,2.651874,0.010000
"DEbest","ackley",2,1,180,6,2.651874,0.020000
"DEbest","ackley",2,1,200,7,2.651874,0.020000
"DEbest","ackley",2,1,220,8,2.651874,0.020000
"DEbest","ackley",2,1,240,9,0.624331,0.020000
"DEbest","ackley",2,1,260,10,0.624331,0.020000
"DEbest","ackley",2,1,280,11,0.624331,0.020000
"DEbest","ackley",2,1,300,12,0.581422,0.020000
"DEbest","ackley",2,1,320,13,0.144499,0.020000
"DEbest","ackley",2,1,340,14,0.144499,0.020000
"DEbest","ackley",2,1,360,15,0.030138,0.020000
"DEbest","ackley",2,1,380,16,0.030138,0.020000
"DEbest","ackley",2,1,400,17,0.030138,0.020000
"DEbest","ackley",2,1,420,18,0.030138,0.020000
"DEbest","ackley",2,1,440,19,0.024941,0.020000
"DEbest","ackley",2,1,460,20,0.024941,0.020000
"DEbest","ackley",2,1,480,21,0.014317,0.020000
"DEbest","ackley",2,1,500,22,0.012765,0.020000
"DEbest","ackley",2,1,520,23,0.007370,0.020000
"DEbest","ackley",2,1,540,24,0.001345,0.020000
"DEbest","ackley",2,1,560,25,0.001345,0.020000
"DEbest","ackley",2,1,580,26,0.001345,0.020000
"DEbest","ackley",2,1,600,27,0.000206,0.020000
"DEbest","ackley",2,1,620,28,0.000206,0.020000
"DEbest","ackley",2,1,640,29,0.000206,0.020000
"DEbest","ackley",2,1,660,30,0.000206,0.020000
"DEbest","ackley",2,1,680,31,0.000206,0.030000
"DEbest","ackley",2,1,700,32,0.000206,0.030000
"DEbest","ackley",2,1,720,33,0.000206,0.030000
"DEbest","ackley",2,1,740,34,0.000157,0.030000
"DEbest","ackley",2,1,760,35,0.000057,0.030000
"DEbest","ackley",2,1,780,36,0.000029,0.030000
"DEbest","ackley",2,1,800,37,0.000029,0.030000
"DEbest","ackley",2,1,820,38,0.000027,0.030000
"DEbest","ackley",2,1,840,39,0.000014,0.030000
"DEbest","ackley",2,1,860,40,0.000014,0.030000
"DEbest","ackley",2,1,880,41,0.000011,0.030000
"DEbest","ackley",2,1,900,42,0.000007,0.030000
"DEbest","ackley",2,1,920,43,0.000003,0.030000
"DEbest","ackley",2,1,940,44,0.000002,0.030000
"DEbest","ackley",2,1,960,45,0.000001,0.030000
"DEbest","ackley",2,1,980,46,0.000001,0.030000
"DEbest","ackley",2,1,1000,47,0.000001,0.040000
"DEbest","ackley",2,2,80,1,13.043388,0.000000
"DEbest","ackley",2,2,100,2,10.105053,0.010000
"DEbest","ackley",2,2,120,3,5.856968,0.010000
"DEbest","ackley",2,2,140,4,4.558387,0.010000
"DEbest","ackley",2,2,160,5,3.338904,0.010000
"DEbest","ackley",2,2,180,6,0.991519,0.010000
"DEbest","ackley",2,2,200,7,0.991519,0.010000
"DEbest","ackley",2,2,220,8,0.991519,0.010000
"DEbest","ackley",2,2,240,9,0.991519,0.010000
"DEbest","ackley",2,2,260,10,0.991519,0.010000
"DEbest","ackley",2,2,280,11,0.412246,0.010000
"DEbest","ackley",2,2,300,12,0.412246,0.010000
"DEbest","ackley",2,2,320,13,0.412246,0.010000
"DEbest","ackley",2,2,340,14,0.412246,0.010000
"DEbest","ackley",2,2,360,15,0.412246,0.010000
"DEbest","ackley",2,2,380,16,0.364286,0.010000
"DEbest","ackley",2,2,400,17,0.110695,0.010000
"DEbest","ackley",2,2,420,18,0.063414,0.010000
"DEbest","ackley",2,2,440,19,0.063414,0.010000
"DEbest","ackley",2,2,460,20,0.061174,0.010000
"DEbest","ackley",2,2,480,21,0.010424,0.010000
"DEbest","ackley",2,2,500,22,0.010424,0.010000
"DEbest","ackley",2,2,520,23,0.006499,0.020000
"DEbest","ackley",2,2,540,24,0.006499,0.020000
"DEbest","ackley",2,2,560,25,0.006499,0.020000
"DEbest","ackley",2,2,580,26,0.006499,0.020000
"DEbest","ackley",2,2,600,27,0.001527,0.020000
"DEbest","ackley",2,2,620,28,0.001279,0.020000
"DEbest","ackley",2,2,640,29,0.001279,0.020000
"DEbest","ackley",2,2,660,30,0.000480,0.020000
"DEbest","ackley",2,2,680,31,0.000132,0.020000
"DEbest","ackley",2,2,700,32,0.000132,0.020000
"DEbest","ackley",2,2,720,33,0.000132,0.020000
"DEbest","ackley",2,2,740,34,0.000055,0.020000
"DEbest","ackley",2,2,760,35,0.000043,0.020000
"DEbest","ackley",2,2,780,36,0.000043,0.020000
"DEbest","ackley",2,2,800,37,0.000043,0.020000
"DEbest","ackley",2,2,820,38,0.000040,0.020000
"DEbest","ackley",2,2,840,39,0.000040,0.020000
"DEbest","ackley",2,2,860,40,0.000035,0.020000
"DEbest","ackley",2,2,880,41,0.000022,0.020000
"DEbest","ackley",2,2,900,42,0.000022,0.020000
"DEbest","ackley",2,2,920,43,0.000014,0.020000
"DEbest","ackley",2,2,940,44,0.000014,0.020000
"DEbest","ackley",2,2,960,45,0.000009,0.020000
"DEbest","ackley",2,2,980,46,0.000006,0.020000
"DEbest","ackley",2,2,1000,47,0.000003,0.030000
"DEbest","ackley",2,3,80,1,13.734126,0.000000
"DEbest","ackley",2,3,100,2,7.320111,0.000000
"DEbest","ackley",2,3,120,3,7.320111,0.000000
"DEbest","ackley",2,3,140,4,6.105736,0.000000
"DEbest","ackley",2,3,160,5,4.145279,0.000000
"DEbest","ackley",2,3,180,6,3.180224,0.010000
"DEbest","ackley",2,3,200,7,1.472340,0.010000
"DEbest","ackley",2,3,220,8,1.472340,0.010000
"DEbest","ackley",2,3,240,9,1.472340,0.010000
"DEbest","ackley",2,3,260,10,1.472340,0.010000
"DEbest","ackley",2,3,280,11,0.446917,0.010000
"DEbest","ackley",2,3,300,12,0.446917,0.010000
"DEbest","ackley",2,3,320,13,0.274919,0.010000
"DEbest","ackley",2,3,340,14,0.272314,0.010000
"DEbest","ackley",2,3,360,15,0.272314,0.010000
"DEbest","ackley",2,3,380,16,0.105311,0.010000
"DEbest","ackley",2,3,400,17,0.034804,0.010000
"DEbest","ackley",2,3,420,18,0.008057,0.010000
"DEbest","ackley",2,3,440,19,0.008057,0.010000
"DEbest","ackley",2,3,460,20,0.008057,0.010000
"DEbest","ackley",2,3,480,21,0.004218,0.010000
"DEbest","ackley",2,3,500,22,0.004218,0.010000
"DEbest","ackley",2,3,520,23,0.004218,0.010000
"DEbest","ackley",2,3,540,24,0.002521,0.010000
"DEbest","ackley",2,3,560,25,0.002521,0.010000
"DEbest","ackley",2,3,580,26,0.001171,0.010000
"DEbest","ackley",2,3,600,27,0.001171,0.010000
"DEbest","ackley",2,3,620,28,0.000552,0.010000
"DEbest","ackley",2,3,640,29,0.000552,0.010000
"DEbest","ackley",2,3,660,30,0.000531,0.010000
"DEbest","ackley",2,3,680,31,0.000264,0.010000
"DEbest","ackley",2,3,700,32,0.000151,0.010000
"DEbest","ackley",2,3,720,33,0.000091,0.010000
"DEbest","ackley",2,3,740,34,0.000074,0.010000
"DEbest","ackley",2,3,760,35,0.000038,0.010000
"DEbest","ackley",2,3,780,36,0.000008,0.010000
"DEbest","ackley",2,3,800,37,0.000008,0.010000
"DEbest","ackley",2,3,820,38,0.000008,0.010000
"DEbest","ackley",2,3,840,39,0.000008,0.010000
"DEbest","ackley",2,3,860,40,0.000002,0.010000
"DEbest","ackley",2,3,880,41,0.000002,0.010000
"DEbest","ackley",2,3,900,42,0.000002,0.010000
"DEbest","ackley",2,3,920,43,0.000002,0.010000
"DEbest","ackley",2,3,940,44,0.000000,0.020000
"DEbest","ackley",2,3,960,45,0.000000,0.020000
"DEbest","ackley",2,3,980,46,0.000000,0.020000
"DEbest","ackley",2,3,1000,47,0.000000,0.020000
"DEbest","ackley",2,4,80,1,10.628556,0.000000
"DEbest","ackley",2,4,100,2,9.778154,0.000000
"DEbest","ackley",2,4,120,3,9.778154,0.000000
"DEbest","ackley",2,4,140,4,9.778154,0.000000
"DEbest","ackley",2,4,160,5,4.574226,0.000000
"DEbest","ackley",2,4,180,6,3.135538,0.000000
"DEbest","ackley",2,4,200,7,2.752977,0.000000
"DEbest","ackley",2,4,220,8,2.752977,0.000000
"DEbest","ackley",2,4,240,9,2.498479,0.000000
"DEbest","ackley",2,4,260,10,2.498479,0.000000
"DEbest","ackley",2,4,280,11,2.498479,0.000000
"DEbest","ackley",2,4,300,12,1.447186,0.000000
"DEbest","ackley",2,4,320,13,1.306692,0.000000
"DEbest","ackley",2,4,340,14,1.225243,0.000000
"DEbest","ackley",2,4,360,15,0.578823,0.000000
"DEbest","ackley",2,4,380,16,0.073845,0.000000
"DEbest","ackley",2,4,400,17,0.068476,0.000000
"DEbest","ackley",2,4,420,18,0.068476,0.000000
"DEbest","ackley",2,4,440,19,0.068476,0.000000
"DEbest","ackley",2,4,460,20,0.029783,0.010000
"DEbest","ackley",2,4,480,21,0.029783,0.010000
"DEbest","ackley",2,4,500,22,0.013587,0.010000
"DEbest","ackley",2,4,520,23,0.013587,0.010000
"DEbest","ackley",2,4,540,24,0.013587,0.010000
"DEbest","ackley",2,4,560,25,0.012566,0.010000
"DEbest","ackley",2,4,580,26,0.003733,0.010000
"DEbest","ackley",2,4,600,27,0.003257,0.010000
"DEbest","ackley",2,4,620,28,0.003257,0.010000
"DEbest","ackley",2,4,640,29,0.001591,0.010000
"DEbest","ackley",2,4,660,30,0.001591,0.010000
"DEbest","ackley",2,4,680,31,0.001563,0.010000
"DEbest","ackley",2,4,700,32,0.000664,0.010000
"DEbest","ackley",2,4,720,33,0.000460,0.010000
"DEbest","ackley",2,4,740,34,0.000136,0.010000
"DEbest","ackley",2,4,760,35,0.000136,0.010000
"DEbest","ackley",2,4,780,36,0.000136,0.010000
"DEbest","ackley",2,4,800,37,0.000126,0.010000
"DEbest","ackley",2,4,820,38,0.000044,0.010000
"DEbest","ackley",2,4,840,39,0.000032,0.010000
"DEbest","ackley",2,4,860,40,0.000032,0.010000
"DEbest","ackley",2,4,880,41,0.000015,0.010000
"DEbest","ackley",2,4,900,42,0.000015,0.010000
"DEbest","ackley",2,4,920,43,0.000012,0.010000
"DEbest","ackley",2,4,940,44,0.000012,0.010000
"DEbest","ackley",2,4,960,45,0.000002,0.010000
"DEbest","ackley",2,4,980,46,0.000002,0.010000
"DEbest","ackley",2,4,1000,47,0.000002,0.010000
"DEbest","ackley",2,5,80,1,12.932683,0.000000
"DEbest","ackley",2,5,100,2,6.672924,0.000000
"DEbest","ackley",2,5,120,3,6.672924,0.000000
"DEbest","ackley",2,5,140,4,5.778167,0.000000
"DEbest","ackley",2,5,160,5,4.064849,0.000000
"DEbest","ackley",2,5,180,6,4.064849,0.000000
"DEbest","ackley",2,5,200,7,2.755563,0.000000
"DEbest","ackley",2,5,220,8,2.755563,0.000000
"DEbest","ackley",2,5,240,9,0.835640,0.000000
"DEbest","ackley",2,5,260,10,0.835640,0.000000
"DEbest","ackley",2,5,280,11,0.835640,0.000000
"DEbest","ackley",2,5,300,12,0.760301,0.010000
"DEbest","ackley",2,5,320,13,0.109837,0.010000
"DEbest","ackley",2,5,340,14,0.109837,0.010000
"DEbest","ackley",2,5,360,15,0.109837,0.010000
"DEbest","ackley",2,5,380,16,0.109837,0.010000
"DEbest","ackley",2,5,400,17,0.050944,0.010000
"DEbest","ackley",2,5,420,18,0.026279,0.010000
"DEbest","ackley",2,5,440,19,0.026279,0.010000
"DEbest","ackley",2,5,460,20,0.020030,0.010000
"DEbest","ackley",2,5,480,21,0.019435,0.010000
"DEbest","ackley",2,5,500,22,0.001423,0.010000
"DEbest","ackley",2,5,520,23,0.001423,0.010000
"DEbest","ackley",2,5,540,24,0.001423,0.010000
"DEbest","ackley",2,5,560,25,0.001423,0.010000
"DEbest","ackley",2,5,580,26,0.001423,0.010000
"DEbest","ackley",2,5,600,27,0.001380,0.010000
"DEbest","ackley",2,5,620,28,0.000483,0.010000
"DEbest","ackley",2,5,640,29,0.000483,0.010000
"DEbest","ackley",2,5,660,30,0.000409,0.010000
"DEbest","ackley",2,5,680,31,0.000332,0.010000
"DEbest","ackley",2,5,700,32,0.000044,0.010000
"DEbest","ackley",2,5,720,33,0.000044,0.010000
"DEbest","ackley",2,5,740,34,0.000044,0.010000
"DEbest","ackley",2,5,760,35,0.000044,0.010000
"DEbest","ackley",2,5,780,36,0.000044,0.010000
"DEbest","ackley",2,5,800,37,0.000040,0.010000
"DEbest","ackley",2,5,820,38,0.000019,0.010000
"DEbest","ackley",2,5,840,39,0.000015,0.010000
"DEbest","ackley",2,5,860,40,0.000010,0.010000
"DEbest","ackley",2,5,880,41,0.000008,0.010000
"DEbest","ackley",2,5,900,42,0.000004,0.010000
"DEbest","ackley",2,5,920,43,0.000004,0.010000
"DEbest","ackley",2,5,940,44,0.000004,0.010000
"DEbest","ackley",2,5,960,45,0.000004,0.010000
"DEbest","ackley",2,5,980,46,0.000002,0.010000
"DEbest","ackley",2,5,1000,47,0.000002,0.010000
"DEbest","ackley",5,1,80,1,16.499585,0.000000
"DEbest","ackley",5,1,100,2,16.499585,0.010000
"DEbest","ackley",5,1,120,3,15.018849,0.020000
"DEbest","ackley",5,1,140,4,14.701511,0.020000
"DEbest","ackley",5,1,160,5,14.701511,0.020000
"DEbest","ackley",5,1,180,6,14.329887,0.030000
"DEbest","ackley",5,1,200,7,14.050808,0.030000
"DEbest","ackley",5,1,220,8,9.855952,0.030000
"DEbest","ackley",5,1,240,9,9.855952,0.030000
"DEbest","ackley",5,1,260,10,8.159958,0.030000
"DEbest","ackley",5,1,280,11,7.775305,0.030000
"DEbest","ackley",5,1,300,12,7.479317,0.030000
"DEbest","ackley",5,1,320,13,7.344297,0.030000
"DEbest","ackley",5,1,340,14,5.797532,0.030000
"DEbest","ackley",5,1,360,15,4.526191,0.030000
"DEbest","ackley",5,1,380,16,3.794160,0.030000
"DEbest","ackley",5,1,400,17,3.794160,0.030000
"DEbest","ackley",5,1,420,18,3.794160,0.030000
"DEbest","ackley",5,1,440,19,3.438064,0.030000
"DEbest","ackley",5,1,460,20,3.438064,0.030000
"DEbest","ackley",5,1,480,21,3.438064,0.030000
"DEbest","ackley",5,1,500,22,3.438064,0.030000
"DEbest","ackley",5,1,520,23,3.438064,0.030000
"DEbest","ackley",5,1,540,24,2.992700,0.030000
"DEbest","ackley",5,1,560,25,2.919582,0.030000
"DEbest","ackley",5,1,580,26,1.816049,0.030000
"DEbest","ackley",5,1,600,27,1.603329,0.030000
"DEbest","ackley",5,1,620,28,1.603329,0.030000
"DEbest","ackley",5,1,640,29,1.603329,0.030000
"DEbest","ackley",5,1,660,30,1.603329,0.030000
"DEbest","ackley",5,1,680,31,1.603329,0.030000
"DEbest","ackley",5,1,700,32,0.822499,0.030000
"DEbest","ackley",5,1,720,33,0.786791,0.030000
"DEbest","ackley",5,1,740,34,0.373895,0.040000
"DEbest","ackley",5,1,760,35,0.373895,0.040000
"DEbest","ackley",5,1,780,36,0.373895,0.040000
"DEbest","ackley",5,1,800,37,0.346069,0.040000
"DEbest","ackley",5,1,820,38,0.245472,0.040000
"DEbest","ackley",5,1,840,39,0.245472,0.040000
"DEbest","ackley",5,1,860,40,0.187684,0.040000
"DEbest","ackley",5,1,880,41,0.164173,0.040000
"DEbest","ackley",5,1,900,42,0.163111,0.040000
"DEbest","ackley",5,1,920,43,0.083857,0.040000
"DEbest","ackley",5,1,940,44,0.083857,0.040000
"DEbest","ackley",5,1,960,45,0.056660,0.040000
"DEbest","ackley",5,1,980,46,0.056660,0.040000
"DEbest","ackley",5,1,1000,47,0.048961,0.040000
"DEbest","ackley",5,1,1020,48,0.038911,0.040000
"DEbest","ackley",5,1,1040,49,0.037631,0.040000
"DEbest","ackley",5,1,1060,50,0.037631,0.040000
"DEbest","ackley",5,1,1080,51,0.023277,0.040000
"DEbest","ackley",5,1,1100,52,0.023277,0.040000
"DEbest","ackley",5,1,1120,53,0.023277,0.040000
"DEbest","ackley",5,1,1140,54,0.022859,0.040000
"DEbest","ackley",5,1,1160,55,0.017771,0.040000
"DEbest","ackley",5,1,1180,56,0.014056,0.040000
"DEbest","ackley",5,1,1200,57,0.014056,0.040000
"DEbest","ackley",5,1,1220,58,0.012908,0.040000
"DEbest","ackley",5,1,1240,59,0.005824,0.040000
"DEbest","ackley",5,1,1260,60,0.005824,0.040000
"DEbest","ackley",5,1,1280,61,0.005824,0.040000
"DEbest","ackley",5,1,1300,62,0.004328,0.040000
"DEbest","ackley",5,1,1320,63,0.004328,0.040000
"DEbest","ackley",5,1,1340,64,0.004328,0.040000
